Gene_ID,t_protein_cimp_positive
BLOC1S5,0
BLOC1S6,0
BLVRA,0
BLVRB,0
BLZF1,0
BMF,0
BMP2K,0
BMPR2,0
BMS1,1
BNC2,0
BNIP1,1
BNIP2,0
BNIP3,0
BNIP3L,0
BOD1,0
BOD1L1,-1
BOK,0
BOLA1,0
BOLA2,1
BOLA3,0
BOP1,1
BORCS5,0
BORCS6,0
BORCS7,-1
BORCS8,0
BPGM,0
BPHL,0
BPI,1
BPNT1,0
BPTF,0
BRAF,0
BRAP,0
BRAT1,0
BRCC3,0
BRD1,0
BRD2,0
BRD3,-1
BRD4,0
BRD7,0
BRD8,0
BRD9,0
BRF1,-1
BRF2,0
BRI3,0
BRI3BP,0
BRIX1,1
BRK1,0
BRMS1,0
BRMS1L,-1
BROX,1
BRPF1,0
BSCL2,0
BSDC1,1
BSG,1
BSND,0
BSPRY,-1
BST1,0
BST2,1
BTAF1,0
BTBD1,0
BTBD10,0
BTBD2,0
BTD,0
BTF3,0
BTF3L4,0
BTK,1
BTN2A1,0
BTN3A1,0
BTN3A2,0
BTN3A3,0
BTNL9,-1
BUB3,0
BUD13,0
BUD23,0
BUD31,1
BYSL,1
BZW1,1
BZW2,1
C11orf52,0
C11orf54,0
C11orf58,0
C11orf68,0
C11orf96,-1
C11orf98,0
C12orf10,1
C12orf29,1
C12orf4,-1
C12orf43,0
C12orf45,1
C12orf57,0
C12orf65,0
C12orf66,0
C12orf73,1
C12orf75,0
C14orf119,0
C15orf38-AP3S2,-1
C15orf40,-1
C15orf48,0
C16orf58,0
C16orf70,0
C16orf86,-1
C16orf91,0
C17orf49,0
C17orf75,0
C17orf80,0
C17orf97,0
C18orf21,0
C18orf25,0
C18orf32,0
C19orf12,0
C19orf25,-1
C19orf33,0
C19orf47,0
C19orf53,0
C19orf54,0
C19orf66,1
C19orf70,0
C1D,0
C1GALT1,0
C1GALT1C1,0
C1QA,1
C1QB,1
C1QBP,0
C1QC,1
C1QTNF3,0
C1QTNF5,0
C1R,0
C1RL,0
C1S,0
C1orf109,-1
C1orf116,0
C1orf122,1
C1orf123,-1
C1orf174,0
C1orf198,0
C1orf210,-1
C1orf226,0
C1orf35,0
C1orf50,0
C1orf52,0
C2,0
C20orf194,0
C20orf27,0
C21orf2,0
C22orf39,0
C2CD2,0
C2CD2L,0
C2CD5,0
C2orf49,0
C2orf54,0
C2orf68,0
C2orf69,0
C2orf76,0
C2orf88,0
C3,0
C3orf38,0
C3orf58,1
C4A,-1
C4B,0
C4BPA,0
C4BPB,0
C4orf3,1
C4orf33,0
C5,0
C5AR1,0
C5orf15,1
C5orf22,0
C5orf24,0
C5orf51,0
C6,0
C6orf106,0
C6orf120,0
C6orf132,0
C6orf136,0
C6orf203,0
C6orf47,0
C6orf89,0
C7,0
C7orf25,0
C7orf26,0
C7orf43,0
C7orf50,0
C7orf55-LUC7L2,0
C8A,0
C8B,0
C8G,0
C8orf33,1
C8orf37,-1
C8orf59,0
C8orf82,1
C9,0
C9orf16,0
C9orf40,0
C9orf64,-1
C9orf66,0
C9orf78,-1
CA1,0
CA12,1
CA13,0
CA2,0
CA3,0
CA4,-1
CA5B,0
CA8,0
CA9,0
CAAP1,0
CAB39,1
CAB39L,1
CABIN1,1
CABLES1,1
CACFD1,0
CACNA2D1,1
CACNG6,1
CACTIN,1
CACUL1,0
CACYBP,1
CAD,1
CADM1,1
CADM4,1
CADPS2,0
CALB1,1
CALB2,1
CALCOCO1,1
CALCOCO2,1
CALCRL,1
CALD1,1
CALHM5,1
CALM1,0
CALML3,1
CALML4,1
CALR,1
CALU,1
CAMK1,0
CAMK1D,0
CAMK2B,-1
CAMK2D,-1
CAMK2G,0
CAMK4,0
CAMKK1,0
CAMKK2,0
CAMKMT,0
CAMLG,0
CAMP,1
CAMSAP1,-1
CAMSAP2,0
CAMSAP3,0
CAND1,1
CAND2,-1
CANT1,1
CANX,1
CAP1,0
CAP2,0
CAPG,0
CAPN1,-1
CAPN15,0
CAPN2,0
CAPN5,-1
CAPN6,0
CAPN7,0
CAPNS1,0
CAPRIN1,0
CAPS,1
CAPZA1,1
CAPZA2,-1
CAPZB,0
CARD10,1
CARD11,0
CARD16,0
CARD19,0
CARD6,0
CARD8,-1
CARD9,0
CARHSP1,0
CARM1,0
CARMIL1,0
CARNMT1,0
CARS,1
CARS2,1
CASC3,0
CASC4,1
CASK,0
CASKIN2,-1
CASP1,0
CASP10,0
CASP2,0
CASP3,1
CASP4,1
CASP6,0
CASP7,0
CASP8,1
CASP9,0
CASR,0
CAST,0
CASTOR1,0
CASTOR2,0
CAT,0
CAV1,0
CAV2,0
CAVIN1,-1
CAVIN2,-1
CAVIN3,0
CBFB,1
CBL,0
CBLB,0
CBLL1,0
CBR1,0
CBR3,0
CBR4,0
CBWD1,0
CBX1,-1
CBX3,0
CBX4,0
CBX5,0
CBX7,-1
CBX8,0
CC2D1A,0
CC2D1B,0
CC2D2A,0
CCAR1,0
CCAR2,-1
CCDC102A,-1
CCDC106,0
CCDC115,0
CCDC117,0
CCDC12,0
CCDC120,0
CCDC124,0
CCDC127,1
CCDC130,0
CCDC134,0
CCDC174,0
CCDC182,0
CCDC186,0
CCDC22,0
CCDC25,-1
CCDC28A,0
CCDC32,0
CCDC39,1
CCDC43,0
CCDC47,1
CCDC50,0
CCDC51,0
CCDC58,1
CCDC6,0
CCDC61,0
CCDC65,-1
CCDC7,0
CCDC8,0
CCDC80,0
CCDC82,-1
CCDC85B,-1
CCDC85C,-1
CCDC86,0
CCDC88A,0
CCDC88B,0
CCDC88C,0
CCDC9,0
CCDC90B,0
CCDC91,0
CCDC92,0
CCDC93,0
CCDC97,0
CCDC9B,0
CCL14,0
CCL16,0
CCL18,0
CCL21,0
CCL5,0
CCM2,0
CCNC,0
CCND1,-1
CCNDBP1,1
CCNH,1
CCNK,0
CCNL1,0
CCNL2,0
CCNT1,1
CCNT2,0
CCNY,0
CCNYL1,0
CCP110,0
CCPG1,1
CCS,-1
CCSER1,0
CCSER2,0
CCT2,0
CCT3,0
CCT4,0
CCT5,0
CCT6A,0
CCT6B,0
CCT7,0
CCT8,0
CCZ1,1
CD109,1
CD14,0
CD151,0
CD163,0
CD180,0
CD2,0
CD200,0
CD209,0
CD248,0
CD276,0
CD2AP,-1
CD2BP2,0
CD300A,0
CD34,-1
CD36,-1
CD38,0
CD3E,0
CD3EAP,0
CD4,0
CD40,1
CD44,1
CD46,0
CD47,0
CD48,0
CD53,0
CD55,0
CD58,0
CD59,0
CD5L,0
CD63,1
CD70,0
CD74,0
CD81,0
CD82,0
CD84,0
CD8A,0
CD9,0
CD93,-1
CD99,0
CD99L2,0
CDA,0
CDADC1,-1
CDC123,0
CDC16,0
CDC23,0
CDC26,0
CDC27,1
CDC34,0
CDC37,0
CDC37L1,0
CDC40,0
CDC42,0
CDC42BPA,-1
CDC42BPB,-1
CDC42BPG,0
CDC42EP1,-1
CDC42EP2,-1
CDC42EP3,0
CDC42EP4,0
CDC42EP5,-1
CDC42SE1,0
CDC42SE2,0
CDC5L,0
CDC73,0
CDCP1,1
CDH1,0
CDH11,0
CDH13,-1
CDH16,0
CDH2,0
CDH4,-1
CDH5,-1
CDH6,0
CDH9,0
CDHR2,0
CDHR5,0
CDIP1,0
CDIPT,0
CDK1,1
CDK11A,0
CDK11B,0
CDK12,0
CDK13,0
CDK14,0
CDK16,0
CDK17,-1
CDK18,0
CDK19,0
CDK2,0
CDK2AP1,0
CDK4,0
CDK5,1
CDK5RAP1,0
CDK5RAP2,0
CDK5RAP3,0
CDK6,0
CDK7,0
CDK9,1
CDKAL1,0
CDKL5,0
CDKN1B,0
CDKN1C,-1
CDKN2A,0
CDKN2AIP,-1
CDKN2AIPNL,0
CDKN2C,0
CDNF,0
CDPF1,0
CDR2,0
CDR2L,0
CDS1,0
CDS2,0
CDV3,1
CDYL,0
CEACAM1,0
CEACAM4,-1
CEBPB,1
CEBPZ,1
CEBPZOS,1
CELF1,0
CELF2,0
CELSR1,0
CELSR2,0
CEMIP2,1
CENPB,0
CENPC,0
CENPF,0
CENPV,-1
CEP104,0
CEP112,0
CEP120,0
CEP128,0
CEP131,0
CEP135,-1
CEP164,0
CEP170,1
CEP170B,-1
CEP192,0
CEP250,0
CEP290,0
CEP350,-1
CEP41,1
CEP44,0
CEP57,-1
CEP68,-1
CEP78,-1
CEP89,0
CEP97,0
CEPT1,0
CERS2,1
CERS4,1
CERS5,0
CERS6,0
CES1,0
CES2,0
CES3,0
CETN2,-1
CETN3,-1
CETP,0
CFAP20,0
CFAP298,0
CFAP36,1
CFAP97,0
CFB,0
CFD,0
CFDP1,0
CFH,0
CFHR1,0
CFHR2,0
CFHR3,0
CFHR4,0
CFHR5,0
CFI,0
CFL1,0
CFL2,-1
CFLAR,0
CFP,0
CFTR,0
CGAS,0
CGGBP1,-1
CGN,0
CGNL1,0
CGREF1,0
CHAC2,0
CHAD,0
CHAF1A,0
CHAMP1,-1
CHCHD1,0
CHCHD10,0
CHCHD2,0
CHCHD3,0
CHCHD4,1
CHCHD5,1
CHCHD6,1
CHCHD7,0
CHD1,1
CHD1L,0
CHD2,1
CHD3,0
CHD4,0
CHD8,-1
CHDH,0
CHEK2,1
CHERP,0
CHGA,0
CHI3L1,0
CHID1,0
CHIT1,1
CHKA,1
CHKB,1
CHL1,0
CHM,1
CHML,1
CHMP1A,1
CHMP1B,0
CHMP2A,1
CHMP2B,1
CHMP3,1
CHMP4A,1
CHMP4B,0
CHMP4C,1
CHMP5,1
CHMP6,1
CHMP7,1
CHN1,1
CHN2,1
CHORDC1,1
CHP1,0
CHPF2,1
CHPT1,1
CHRAC1,1
CHST13,0
CHST14,0
CHSY1,1
CHTOP,1
CHUK,0
CHURC1,0
CIAO1,0
CIAO2A,0
CIAO2B,0
CIAO3,0
CIAPIN1,1
CIB1,0
CIC,-1
CINP,-1
CIP2A,0
CIR1,1
CIRBP,0
CISD1,1
CISD2,0
CISD3,1
CIT,0
CIZ1,-1
CKAP4,1
CKAP5,0
CKB,0
CKM,0
CKMT1A,0
CKMT2,0
CKS1B,0
CLASP1,1
CLASP2,-1
CLASRP,0
CLC,0
CLCC1,1
CLCN3,0
CLCN5,0
CLCN6,0
CLCN7,0
CLCNKA,0
CLCNKB,0
CLDN10,0
CLDN2,0
CLDN3,0
CLDN7,0
CLDND1,0
CLEC11A,0
CLEC14A,-1
CLEC16A,0
CLEC18B,-1
CLEC3B,0
CLIC1,1
CLIC2,-1
CLIC3,0
CLIC4,0
CLIC5,0
CLIC6,0
CLINT1,0
CLIP1,1
CLIP2,0
CLK3,0
CLK4,0
CLMN,0
CLN3,0
CLN5,0
CLN6,0
CLN8,0
CLNS1A,0
CLOCK,0
CLP1,0
CLPB,0
CLPP,1
CLPTM1,1
CLPTM1L,0
CLPX,0
CLRN3,0
CLSTN1,0
CLSTN3,1
CLTA,0
CLTB,1
CLTC,0
CLTCL1,0
CLTRN,0
CLU,0
CLUAP1,0
CLUH,0
CLYBL,0
CMA1,-1
CMAS,0
CMBL,0
CMC1,0
CMC2,0
CMC4,1
CMIP,0
CMPK1,0
CMPK2,0
CMSS1,1
CMTM4,0
CMTM6,0
CMTR1,0
CMTR2,0
CNBP,1
CNDP1,-1
CNDP2,-1
CNIH4,0
CNKSR3,0
CNN1,0
CNN2,0
CNN3,0
CNNM2,0
CNNM3,0
CNNM4,0
CNOT1,1
CNOT10,1
CNOT11,1
CNOT2,0
CNOT3,0
CNOT4,0
CNOT6L,0
CNOT7,0
CNOT8,0
CNOT9,0
CNP,1
CNPY2,1
CNPY3,0
CNPY4,0
CNRIP1,-1
CNST,0
CNTN1,0
CNTRL,0
CNTROB,0
COA1,0
COA3,0
COA4,0
COA5,0
COA6,0
COA7,0
COASY,0
COBL,0
COBLL1,0
COCH,0
COG1,0
COG2,0
COG3,0
COG4,0
COG5,1
COG6,1
COG7,1
COG8,1
COIL,0
COL12A1,0
COL14A1,0
COL15A1,-1
COL16A1,0
COL18A1,-1
COL1A1,0
COL1A2,0
COL21A1,-1
COL23A1,-1
COL2A1,0
COL3A1,0
COL4A1,0
COL4A2,0
COL4A3,0
COL4A3BP,0
COL4A4,0
COL4A5,0
COL5A1,0
COL5A2,0
COL5A3,-1
COL6A1,0
COL6A2,0
COL6A3,0
COL7A1,0
COL8A1,0
COLEC10,0
COLEC11,0
COLGALT1,1
COMMD1,0
COMMD10,0
COMMD2,0
COMMD3,0
COMMD3-BMI1,-1
COMMD4,0
COMMD5,0
COMMD6,0
COMMD7,1
COMMD8,0
COMMD9,0
COMP,0
COMT,1
COMTD1,0
COP1,0
COPA,1
COPB1,1
COPB2,1
COPE,1
COPG1,1
COPG2,0
COPRS,0
COPS2,0
COPS3,0
COPS4,0
COPS5,0
COPS6,0
COPS7A,-1
COPS7B,1
COPS8,0
COPS9,-1
COPZ1,1
COPZ2,0
COQ10A,0
COQ10B,0
COQ3,0
COQ4,0
COQ5,0
COQ6,0
COQ7,0
COQ8A,1
COQ8B,1
COQ9,0
CORO1A,0
CORO1B,0
CORO1C,0
CORO2A,0
CORO2B,0
CORO6,-1
CORO7,0
CORO7-PAM16,0
COTL1,0
COX11,0
COX15,0
COX17,0
COX18,0
COX19,0
COX20,1
COX4I1,0
COX5A,0
COX5B,0
COX6A1,0
COX6B1,0
COX6C,0
COX7A1,-1
COX7A2,0
COX7A2L,0
COX7B,0
COX7C,0
